Date,Price
"May 22, 2018",0.50%
"May 21, 2018",0.50%
"May 18, 2018",0.50%
"May 17, 2018",0.50%
"May 16, 2018",0.50%
"May 15, 2018",0.50%
"May 14, 2018",0.50%
"May 11, 2018",0.50%
"May 10, 2018",0.50%
"May 09, 2018",0.50%
"May 08, 2018",0.50%
"May 07, 2018",0.50%
"May 04, 2018",0.50%
"May 03, 2018",0.50%
"May 02, 2018",0.50%
"May 01, 2018",0.50%
"Apr 30, 2018",0.50%
"Apr 27, 2018",0.50%
"Apr 26, 2018",0.50%
"Apr 25, 2018",0.50%
"Apr 24, 2018",0.50%
"Apr 23, 2018",0.50%
"Apr 20, 2018",0.50%
"Apr 19, 2018",0.50%
"Apr 18, 2018",0.50%
"Apr 17, 2018",0.50%
"Apr 16, 2018",0.50%
"Apr 13, 2018",0.50%
"Apr 12, 2018",0.50%
"Apr 11, 2018",0.50%
"Apr 10, 2018",0.50%
"Apr 09, 2018",0.50%
"Apr 06, 2018",0.50%
"Apr 05, 2018",0.50%
"Apr 04, 2018",0.50%
"Apr 03, 2018",0.50%
"Apr 02, 2018",0.50%
"Mar 30, 2018",0.50%
"Mar 29, 2018",0.50%
"Mar 28, 2018",0.50%
"Mar 27, 2018",0.50%
"Mar 26, 2018",0.50%
"Mar 23, 2018",0.50%
"Mar 22, 2018",0.50%
"Mar 21, 2018",0.50%
"Mar 20, 2018",0.50%
"Mar 19, 2018",0.50%
"Mar 16, 2018",0.50%
"Mar 15, 2018",0.50%
"Mar 14, 2018",0.50%
"Mar 13, 2018",0.50%
"Mar 12, 2018",0.50%
"Mar 09, 2018",0.50%
"Mar 08, 2018",0.50%
"Mar 07, 2018",0.50%
"Mar 06, 2018",0.50%
"Mar 05, 2018",0.50%
"Mar 02, 2018",0.50%
"Mar 01, 2018",0.50%
"Feb 28, 2018",0.50%
"Feb 27, 2018",0.50%
"Feb 26, 2018",0.50%
"Feb 23, 2018",0.50%
"Feb 22, 2018",0.50%
"Feb 21, 2018",0.50%
"Feb 20, 2018",0.50%
"Feb 19, 2018",0.50%
"Feb 16, 2018",0.50%
"Feb 15, 2018",0.50%
"Feb 14, 2018",0.50%
"Feb 13, 2018",0.50%
"Feb 12, 2018",0.50%
